"","LATITUDE","LONGITUDE","STATION","STRATUM","YEAR","DATETIME","WTCPUE","NUMCPUE","COMMON","SCIENTIFIC","SID","BOT_DEPTH","BOT_TEMP","SURF_TEMP","VESSEL","CRUISE","HAUL"
"7495","60.3205","-168.67417","Q-18","20","1982","06/27/1982 12:00","0.01","0.2227","Arctic cod","Boreogadus saida","21725","38","2.9","3.4","1","198203","79"
"11609","60.675","-171.39183","R-22","41","1983","07/12/1983 09:00","0.0096","0.6393","Arctic cod","Boreogadus saida","21725","66","-0.8","9.5","1","198303","121"
"11812","60.00867","-171.28617","P-22","41","1983","07/12/1983 15:00","0.01","0.2217","Arctic cod","Boreogadus saida","21725","71","-0.4","9.1","1","198303","123"
"11918","61.003","-171.40717","S-22","41","1983","07/12/1983 06:00","0.0102","0.4531","Arctic cod","Boreogadus saida","21725","62","-1","10","1","198303","120"
"14530","59.34467","-171.19483","N-22","41","1983","07/13/1983 06:00","0.0098","0.2182","Arctic cod","Boreogadus saida","21725","79","-0.2","8.9","1","198303","125"
"14578","57.6555","-167.76133","I-01","31","1983","07/01/1983 07:00","0.0109","0.2418","Arctic cod","Boreogadus saida","21725","70","1.8","9","37","198301","80"
"21629","59.01117","-170.48967","M-21","41","1984","07/12/1984 17:00","0.0754","3.3211","Arctic cod","Boreogadus saida","21725","73","-1.1","6.8","37","198401","113"
"21872","59.016","-171.137","M-22","41","1984","07/12/1984 17:00","0.0201","0.4417","Arctic cod","Boreogadus saida","21725","80","-1","5.8","1","198402","123"
"22413","59.34167","-171.193","N-22","41","1984","07/12/1984 14:00","0.0414","2.2882","Arctic cod","Boreogadus saida","21725","79","-1.1","6.3","1","198402","122"
"22561","59.34683","-170.54633","N-21","41","1984","07/12/1984 14:00","0.0389","0.8595","Arctic cod","Boreogadus saida","21725","68","-0.4","6.6","37","198401","112"
"25886","59.68683","-167.79883","O-01","20","1984","06/20/1984 09:00","0.0591","3.1262","Arctic cod","Boreogadus saida","21725","31","1.6","4.1","37","198401","45"
"25922","60.15683","-172.289","QP2423","43","1984","07/22/1984 13:00","0.0096","0.2127","Arctic cod","Boreogadus saida","21725","57","2","6.9","37","198401","138"
"25944","60.17","-172.987","QP2524","43","1984","07/23/1984 13:00","0.0319","0.4687","Arctic cod","Boreogadus saida","21725","60","-1","7.2","1","198402","147"
"25986","60.304","-170.638","Q-21","41","1984","07/12/1984 07:00","0.5341","22.3157","Arctic cod","Boreogadus saida","21725","62","-0.9","6.4","37","198401","109"
"26102","60.3235","-171.3695","Q-22","41","1984","07/12/1984 06:00","0.1625","5.2581","Arctic cod","Boreogadus saida","21725","70","-1.3","6.3","1","198402","119"
"26174","59.81833","-172.26033","PO2423","43","1984","07/22/1984 09:00","0.1471","5.191","Arctic cod","Boreogadus saida","21725","75","-0.5","7.5","37","198401","136"
"26371","60.328","-170.01117","Q-20","20","1984","07/09/1984 18:00","0.2198","8.4833","Arctic cod","Boreogadus saida","21725","55","-1.4","6.8","1","198402","112"
"26423","60.33167","-169.33867","Q-19","20","1984","07/11/1984 17:00","0.5036","24.6738","Arctic cod","Boreogadus saida","21725","44","-0.9","6.6","37","198401","108"
"26462","60.33333","-174.113","Q-26","43","1984","07/24/1984 09:00","0.1633","10.3781","Arctic cod","Boreogadus saida","21725","95","-1.3","7","1","198402","148"
"26693","59.65433","-171.89467","O-23","43","1984","07/22/1984 06:00","0.0304","1.7853","Arctic cod","Boreogadus saida","21725","77","0","7.5","37","198401","135"
"26713","59.98717","-169.9555","P-20","41","1984","07/09/1984 16:00","0.2962","16.3317","Arctic cod","Boreogadus saida","21725","57","-1.4","6.4","1","198402","111"
"26741","59.9895","-171.98833","P-23","43","1984","07/22/1984 11:00","0.262","6.701","Arctic cod","Boreogadus saida","21725","66","-0.8","7.6","37","198401","137"
"26802","60.353","-173.38967","Q-25","43","1984","07/24/1984 06:00","0.2967","13.5482","Arctic cod","Boreogadus saida","21725","60","0","6.7","37","198401","144"
"26981","60.65183","-171.4105","R-22","41","1984","07/10/1984 06:00","0.0107","0.4748","Arctic cod","Boreogadus saida","21725","66","-1.2","5.8","1","198402","113"
"26996","60.656","-174.80867","R-27","41","1984","08/11/1984 18:00","0.0096","0.2128","Arctic cod","Boreogadus saida","21725","101","-1.1","9.1","1","198402","196"
"27417","60.66167","-172.1055","R-23","41","1984","07/10/1984 09:00","0.0209","0.6892","Arctic cod","Boreogadus saida","21725","64","-1.4","5.6","1","198402","114"
"27563","60.0085","-171.28533","P-22","41","1984","07/12/1984 09:00","0.3344","13.1792","Arctic cod","Boreogadus saida","21725","73","-1","6.1","1","198402","120"
"27611","60.66833","-173.49317","R-25","41","1984","07/23/1984 17:00","0.1101","4.2919","Arctic cod","Boreogadus saida","21725","66","-0.1","7.9","37","198401","143"
"27686","59.672","-170.58767","O-21","41","1984","07/12/1984 12:00","0.2446","13.4816","Arctic cod","Boreogadus saida","21725","66","-1.1","6.8","37","198401","111"
"27770","60.01583","-170.62933","P-21","41","1984","07/12/1984 09:00","0.1834","8.2908","Arctic cod","Boreogadus saida","21725","66","-1","6.9","37","198401","110"
"27788","60.01617","-173.298","P-25","43","1984","07/24/1984 10:00","0.1419","6.7033","Arctic cod","Boreogadus saida","21725","75","-0.9","7","37","198401","146"
"27825","60.68083","-174.12667","R-26","41","1984","07/23/1984 14:00","0.2284","13.092","Arctic cod","Boreogadus saida","21725","88","-0.7","7.9","37","198401","142"
"27873","60.98533","-172.81483","S-24","41","1984","07/11/1984 09:00","0.148","7.1843","Arctic cod","Boreogadus saida","21725","70","-1.2","5.5","1","198402","116"
"27909","59.676","-171.255","O-22","41","1984","07/12/1984 12:00","0.1986","7.8816","Arctic cod","Boreogadus saida","21725","75","-0.8","6","1","198402","121"
"27963","60.02283","-168.00933","P-01","20","1984","06/20/1984 13:00","0.0105","0.2323","Arctic cod","Boreogadus saida","21725","26","2.1","1.6","37","198401","46"
"28004","60.9855","-173.47633","S-25","41","1984","07/23/1984 09:00","0.0736","7.8677","Arctic cod","Boreogadus saida","21725","75","-0.7","7.3","37","198401","140"
"28040","60.99683","-174.10483","S-26","41","1984","07/23/1984 11:00","0.3703","18.577","Arctic cod","Boreogadus saida","21725","82","-1.4","7.7","37","198401","141"
"28110","60.15633","-173.60533","QP2625","43","1984","07/24/1984 08:00","0.1894","8.5897","Arctic cod","Boreogadus saida","21725","77","-1","7.3","37","198401","145"
"28174","60.999","-172.16967","S-23","41","1984","07/11/1984 12:00","0.0525","4.161","Arctic cod","Boreogadus saida","21725","66","-1","6.1","1","198402","117"
"28203","61.01367","-171.44033","S-22","41","1984","07/11/1984 15:00","0.2184","9.8733","Arctic cod","Boreogadus saida","21725","66","-0.9","6.1","1","198402","118"
"30548","57.9985","-160.83267","J-12","10","1985","06/15/1985 09:00",".022",".2414","Arctic cod","Boreogadus saida","21725","42","-9999","-9999","37","198501","25                                                                                                                                                                                                                                                                                                                                                                                           "
"34033","60.99783","-174.18067","S-26","41","1985","07/14/1985 08:00",".0188",".2065","Arctic cod","Boreogadus saida","21725","82","-.2","5.3","60","198501","40                                                                                                                                                                                                                                                                                                                                                                                             "
"35300","60.3275","-170.04067","Q-20","20","1985","07/08/1985 10:00",".0504","2.2209","Arctic cod","Boreogadus saida","21725","51","-1.2","5.2","60","198501","20                                                                                                                                                                                                                                                                                                                                                                                            "
"36356","59.6775","-171.25133","O-22","41","1985","07/09/1985 14:00",".0397","1.5342","Arctic cod","Boreogadus saida","21725","71","-1.3","5.2","60","198501","25                                                                                                                                                                                                                                                                                                                                                                                            "
"36427","60.3325","-171.36717","Q-22","41","1985","07/09/1985 07:00",".0301","1.1056","Arctic cod","Boreogadus saida","21725","66","-1.4","4.1","60","198501","23                                                                                                                                                                                                                                                                                                                                                                                            "
"37413","59.32233","-169.8775","N-20","41","1985","07/07/1985 16:00",".0188",".206","Arctic cod","Boreogadus saida","21725","59",".3","5","60","198501","17                                                                                                                                                                                                                                                                                                                                                                                                  "
"37572","60.6715","-171.4415","R-22","41","1985","07/08/1985 20:00",".0964","2.3365","Arctic cod","Boreogadus saida","21725","62","-1.4","5.4","60","198501","22                                                                                                                                                                                                                                                                                                                                                                                             "
"37783","59.9925","-172.64783","P-24","43","1985","07/12/1985 10:00",".0194",".427","Arctic cod","Boreogadus saida","21725","64","-1.2","5.5","60","198501","37                                                                                                                                                                                                                                                                                                                                                                                              "
"37864","60.67767","-174.15067","R-26","41","1985","07/14/1985 11:00",".0092",".2052","Arctic cod","Boreogadus saida","21725","86","-.3","5.8","60","198501","41                                                                                                                                                                                                                                                                                                                                                                                             "
"37900","60.9905","-171.4695","S-22","41","1985","07/08/1985 17:00",".4654","14.8202","Arctic cod","Boreogadus saida","21725","59","-1.6","4.7","60","198501","21                                                                                                                                                                                                                                                                                                                                                                                            "
"41883","59.99533","-171.29533","P-22","41","1986","07/08/1986 09:00",".0095","1.0591","Arctic cod","Boreogadus saida","21725","68","-1.2","7.7","37","198601","125                                                                                                                                                                                                                                                                                                                                                                                          "
"41947","60.6635","-172.11567","R-23","41","1986","07/11/1986 11:00",".0836","1.6128","Arctic cod","Boreogadus saida","21725","64","-1.5","7.8","57","198602","147                                                                                                                                                                                                                                                                                                                                                                                           "
"41986","59.99667","-173.95483","P-26","43","1986","07/16/1986 11:00",".0493","1.5201","Arctic cod","Boreogadus saida","21725","101","-.4","6.5","57","198602","168                                                                                                                                                                                                                                                                                                                                                                                          "
